image_id,labels
commercial_area_0,"['buildings', 'cars', 'pavement', 'trees', 'water']"
commercial_area_1,"['buildings', 'cars', 'pavement', 'trees', 'water']"
commercial_area_2,"['buildings', 'pavement', 'trees']"
commercial_area_3,"['buildings', 'pavement', 'trees']"
commercial_area_4,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_5,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_6,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_7,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_8,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_9,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_10,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_11,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_12,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_13,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_14,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'trees']"
commercial_area_15,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_16,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_17,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_18,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_19,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_20,"['buildings', 'cars', 'parking lot', 'pavement']"
commercial_area_21,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_22,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_23,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'trees']"
commercial_area_24,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_25,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_26,"['buildings', 'cars', 'parking lot', 'pavement', 'trees', 'water']"
commercial_area_27,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_28,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_29,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_30,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_31,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_32,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_33,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_34,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_35,"['buildings', 'pavement', 'trees']"
commercial_area_36,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_37,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_38,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_39,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_40,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_41,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_42,"['buildings', 'pavement', 'trees']"
commercial_area_43,"['buildings', 'pavement']"
commercial_area_44,"['buildings', 'cars', 'pavement', 'road']"
commercial_area_45,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_46,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'trees']"
commercial_area_47,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_48,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_49,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_50,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_51,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_52,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_53,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_54,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_55,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_56,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_57,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_58,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'trees']"
commercial_area_59,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'trees']"
commercial_area_60,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_61,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_62,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_63,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_64,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_65,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_66,"['buildings', 'cars', 'pavement', 'road']"
commercial_area_67,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_68,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_69,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_70,"['buildings', 'grass', 'pavement', 'trees']"
commercial_area_71,"['buildings', 'pavement', 'trees']"
commercial_area_72,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_73,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_74,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_75,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_76,"['buildings', 'cars', 'pavement', 'road', 'trees', 'water']"
commercial_area_77,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_78,"['buildings', 'road', 'trees']"
commercial_area_79,"['buildings', 'cars', 'road', 'trees']"
commercial_area_80,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_81,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_82,"['buildings', 'grass', 'pavement', 'road', 'trees']"
commercial_area_83,"['buildings', 'grass', 'pavement', 'trees', 'water']"
commercial_area_84,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_85,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_86,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_87,"['buildings', 'pavement', 'trees']"
commercial_area_88,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'trees']"
commercial_area_89,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_90,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_91,"['buildings', 'pavement', 'trees']"
commercial_area_92,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_93,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_94,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_95,"['buildings', 'pavement', 'trees']"
commercial_area_96,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_97,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_98,"['buildings', 'pavement', 'trees']"
commercial_area_99,"['buildings', 'pavement', 'trees']"
commercial_area_100,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_101,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_102,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_103,"['buildings', 'pavement', 'trees']"
commercial_area_104,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_105,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_106,"['buildings', 'cars', 'pavement', 'road', 'trees', 'water']"
commercial_area_107,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_108,"['buildings', 'grass', 'pavement', 'road', 'trees']"
commercial_area_109,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_110,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_111,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_112,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_113,"['buildings', 'grass', 'pavement', 'trees']"
commercial_area_114,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_115,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_116,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_117,"['buildings', 'cars', 'pavement']"
commercial_area_118,"['buildings', 'pavement', 'road']"
commercial_area_119,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees', 'water']"
commercial_area_120,"['buildings', 'cars', 'pavement', 'road', 'trees', 'water']"
commercial_area_121,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_122,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_123,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_124,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_125,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_126,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_127,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_128,"['buildings', 'cars', 'grass', 'pavement']"
commercial_area_129,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_130,"['buildings', 'cars', 'grass', 'pavement', 'trees', 'water']"
commercial_area_131,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_132,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_133,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_134,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_135,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_136,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_137,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_138,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_139,"['buildings', 'cars', 'pavement', 'road']"
commercial_area_140,"['buildings', 'pavement', 'trees']"
commercial_area_141,"['buildings', 'grass', 'pavement', 'trees']"
commercial_area_142,"['buildings', 'pavement', 'trees']"
commercial_area_143,"['buildings', 'pavement', 'trees']"
commercial_area_144,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_145,"['buildings', 'pavement', 'road', 'trees']"
commercial_area_146,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_147,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_148,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_149,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_150,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_151,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_152,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_153,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_154,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_155,"['buildings', 'pavement', 'trees']"
commercial_area_156,['buildings']
commercial_area_157,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_158,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_159,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_160,"['buildings', 'grass', 'pavement']"
commercial_area_161,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_162,"['buildings', 'cars', 'pavement', 'trees', 'water']"
commercial_area_163,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_164,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_165,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_166,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_167,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_168,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_169,"['buildings', 'pavement', 'trees']"
commercial_area_170,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_171,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_172,"['buildings', 'cars', 'grass', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_173,"['buildings', 'pavement', 'trees']"
commercial_area_174,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_175,"['buildings', 'cars', 'pavement', 'road']"
commercial_area_176,"['buildings', 'pavement']"
commercial_area_177,"['buildings', 'grass', 'pavement', 'trees']"
commercial_area_178,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_179,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_180,"['buildings', 'grass', 'pavement', 'road', 'trees']"
commercial_area_181,"['buildings', 'pavement', 'trees']"
commercial_area_182,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_183,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_184,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_185,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_186,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_187,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_188,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_189,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_190,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_191,"['buildings', 'pavement']"
commercial_area_192,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_193,"['buildings', 'pavement', 'trees']"
commercial_area_194,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_195,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_196,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_197,"['buildings', 'cars', 'parking lot', 'pavement', 'road']"
commercial_area_198,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_199,"['buildings', 'pavement']"
commercial_area_200,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_201,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_202,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_203,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_204,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_205,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_206,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_207,"['buildings', 'pavement', 'trees']"
commercial_area_208,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_209,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_210,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees', 'water']"
commercial_area_211,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_212,"['buildings', 'cars', 'pavement', 'trees', 'water']"
commercial_area_213,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_214,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_215,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_216,"['buildings', 'cars', 'pavement', 'road']"
commercial_area_217,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_218,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_219,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_220,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_221,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_222,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_223,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_224,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_225,"['buildings', 'pavement', 'trees']"
commercial_area_226,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_227,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_228,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_229,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_230,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_231,"['buildings', 'pavement', 'trees']"
commercial_area_232,"['buildings', 'pavement', 'trees']"
commercial_area_233,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_234,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_235,"['buildings', 'cars', 'grass', 'pavement', 'trees']"
commercial_area_236,"['buildings', 'pavement', 'trees']"
commercial_area_237,"['buildings', 'pavement', 'trees']"
commercial_area_238,"['buildings', 'cars', 'pavement']"
commercial_area_239,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_240,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_241,"['buildings', 'cars', 'parking lot', 'pavement', 'road', 'trees']"
commercial_area_242,"['buildings', 'cars', 'grass', 'pavement', 'road', 'trees']"
commercial_area_243,"['buildings', 'pavement', 'trees']"
commercial_area_244,"['buildings', 'cars', 'parking lot', 'pavement', 'trees']"
commercial_area_245,"['buildings', 'cars', 'pavement', 'trees']"
commercial_area_246,"['buildings', 'cars', 'pavement', 'road', 'trees']"
commercial_area_247,"['buildings', 'cars', 'pavement', 'trees']"
