image_id,labels
industrial_area_0,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_1,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_2,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_3,"['buildings', 'factory', 'grass', 'pavement']"
industrial_area_4,"['buildings', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_5,"['buildings', 'factory', 'pavement']"
industrial_area_6,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_7,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_8,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_9,"['bare soil', 'buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_10,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_11,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_12,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_13,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_14,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_15,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_16,"['buildings', 'factory', 'pavement', 'trees']"
industrial_area_17,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_18,"['bare soil', 'buildings', 'factory', 'pavement', 'trees']"
industrial_area_19,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_20,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_21,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_22,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_23,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_24,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_25,"['buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_26,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_27,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_28,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_29,"['buildings', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_30,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_31,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_32,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_33,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_34,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_35,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_36,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_37,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_38,"['buildings', 'factory', 'pavement', 'trees']"
industrial_area_39,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_40,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_41,"['buildings', 'factory', 'grass', 'pavement']"
industrial_area_42,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_43,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_44,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_45,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_46,"['buildings', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_47,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_48,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_49,"['buildings', 'factory', 'grass', 'pavement']"
industrial_area_50,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_51,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_52,"['bare soil', 'buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_53,"['buildings', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_54,"['buildings', 'factory', 'pavement']"
industrial_area_55,"['bare soil', 'buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_56,"['bare soil', 'buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_57,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_58,"['bare soil', 'buildings', 'cars', 'factory', 'pavement']"
industrial_area_59,"['buildings', 'factory', 'pavement']"
industrial_area_60,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_61,"['buildings', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_62,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_63,"['bare soil', 'buildings', 'cars', 'factory', 'pavement']"
industrial_area_64,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_65,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_66,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_67,"['buildings', 'factory', 'pavement']"
industrial_area_68,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_69,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_70,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_71,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_72,"['bare soil', 'buildings', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_73,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_74,"['bare soil', 'buildings', 'cars', 'factory', 'pavement']"
industrial_area_75,"['bare soil', 'buildings', 'factory', 'pavement']"
industrial_area_76,"['bare soil', 'buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_77,"['bare soil', 'buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_78,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_79,"['bare soil', 'buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_80,"['bare soil', 'buildings', 'cars', 'factory', 'pavement']"
industrial_area_81,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_82,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_83,"['buildings', 'cars', 'factory', 'grass', 'pavement']"
industrial_area_84,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_85,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_86,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_87,"['buildings', 'factory', 'pavement']"
industrial_area_88,"['buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_89,"['buildings', 'factory', 'pavement']"
industrial_area_90,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_91,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_92,"['buildings', 'cars', 'factory', 'grass', 'pavement', 'trees']"
industrial_area_93,"['buildings', 'cars', 'factory', 'pavement', 'trees']"
industrial_area_94,"['buildings', 'factory', 'pavement', 'trees']"
industrial_area_95,"['buildings', 'cars', 'factory', 'pavement']"
industrial_area_96,"['buildings', 'cars', 'factory', 'pavement']"
