image_id,labels
park_0,"['cars', 'grass', 'park', 'pavement', 'trail', 'trees']"
park_1,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_2,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_3,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_4,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_5,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_6,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_7,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_8,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_9,"['bare soil', 'buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_10,"['bare soil', 'buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_11,"['buildings', 'grass', 'park', 'trail', 'trees']"
park_12,"['bare soil', 'buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_13,"['buildings', 'grass', 'park', 'road', 'trail', 'trees', 'water']"
park_14,"['buildings', 'grass', 'park', 'trail', 'trees', 'water']"
park_15,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_16,"['buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_17,"['bare soil', 'buildings', 'grass', 'park', 'pavement', 'trail', 'trees', 'water']"
park_18,"['buildings', 'park', 'track', 'trail', 'trees', 'water']"
park_19,"['buildings', 'cars', 'grass', 'park', 'pavement', 'trail', 'trees']"
park_20,"['buildings', 'grass', 'park', 'trail', 'trees']"
park_21,"['buildings', 'cars', 'park', 'road', 'trail', 'trees']"
park_22,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_23,"['buildings', 'cars', 'park', 'trail', 'trees']"
park_24,"['buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_25,"['buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees']"
park_26,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_27,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_28,"['bare soil', 'park', 'trail', 'trees', 'water']"
park_29,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_30,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_31,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_32,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_33,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_34,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_35,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_36,"['buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_37,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_38,"['bare soil', 'buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_39,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_40,"['buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_41,"['buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_42,"['buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_43,"['bare soil', 'buildings', 'grass', 'park', 'trail', 'trees', 'water']"
park_44,"['buildings', 'cars', 'park', 'pavement', 'road', 'trees', 'water']"
park_45,"['buildings', 'cars', 'park', 'pavement', 'trail', 'trees', 'water']"
park_46,"['buildings', 'grass', 'park', 'trail', 'trees']"
park_47,"['bare soil', 'buildings', 'grass', 'park', 'pavement', 'trail', 'trees', 'water']"
park_48,"['buildings', 'grass', 'park', 'trail', 'trees', 'water']"
park_49,"['buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_50,"['bare soil', 'buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_51,"['bare soil', 'buildings', 'grass', 'park', 'pavement', 'trail', 'trees', 'water']"
park_52,"['buildings', 'cars', 'grass', 'park', 'trail', 'trees', 'water']"
park_53,"['bare soil', 'buildings', 'grass', 'park', 'trail', 'trees']"
park_54,"['bare soil', 'buildings', 'grass', 'park', 'trail', 'trees', 'water']"
park_55,"['buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_56,"['bare soil', 'buildings', 'grass', 'park', 'trail', 'trees', 'water']"
park_57,"['bare soil', 'buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_58,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_59,"['bare soil', 'buildings', 'cars', 'park', 'trail', 'trees', 'water']"
park_60,"['buildings', 'cars', 'grass', 'park', 'trail', 'trees', 'water']"
park_61,"['buildings', 'grass', 'park', 'trail', 'trees', 'water']"
park_62,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_63,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_64,"['bare soil', 'buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_65,"['buildings', 'cars', 'park', 'pavement', 'trail', 'trees']"
park_66,"['buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees']"
park_67,"['buildings', 'cars', 'park', 'pavement', 'trail', 'trees']"
park_68,"['bare soil', 'buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees']"
park_69,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_70,"['buildings', 'grass', 'park', 'trail', 'trees', 'water']"
park_71,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_72,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_73,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_74,"['buildings', 'grass', 'park', 'swimming pool', 'trail', 'trees', 'water']"
park_75,"['buildings', 'cars', 'grass', 'park', 'pavement', 'trail', 'trees', 'water']"
park_76,"['buildings', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_77,"['buildings', 'grass', 'park', 'pavement', 'trail', 'trees', 'water']"
park_78,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_79,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_80,"['buildings', 'park', 'trail', 'trees', 'water']"
park_81,"['buildings', 'park', 'trail', 'trees', 'water']"
park_82,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_83,"['buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees']"
park_84,"['bare soil', 'buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_85,"['buildings', 'cars', 'grass', 'park', 'pavement', 'road', 'trail', 'trees']"
park_86,"['buildings', 'park', 'trail', 'trees', 'water']"
park_87,"['buildings', 'cars', 'park', 'trail', 'trees', 'water']"
park_88,"['buildings', 'grass', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_89,"['buildings', 'cars', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_90,"['bare soil', 'buildings', 'park', 'pavement', 'road', 'trail', 'trees', 'water']"
park_91,"['buildings', 'cars', 'park', 'pavement', 'trail', 'trees']"
